[0118.94] Log: Log file open, 06/04/16 17:20:49
[0118.94] Log: [TRICKNAME] 46.080826 : Show trick name
[0119.82] Log: [TRICKNAME] 47.076099 : Show trick name
[0120.82] Log: [TRICKNAME] 48.076393 : Show trick name
[0121.83] Log: [TRICKNAME] 49.079189 : Show trick name
[0122.83] Log: [TRICKNAME] 50.083126 : Show trick name
[0123.98] Log: [TRICKNAME] 51.229679 : Show trick name
[0125.25] Log: [TRICKNAME] 52.507038 : Show trick name
[0127.02] Log: [TRICKNAME] 54.276752 : Show trick name
[0128.03] Log: [TRICKNAME] 55.284996 : Show trick name
[0129.04] Log: [TRICKNAME] 56.290653 : Show trick name
[0130.04] Log: [TRICKNAME] 57.296936 : Show trick name
[0132.04] Log: [TRICKNAME] 59.299576 : Hide trick name
[0145.70] Log: [TRICKNAME] 72.951584 : Show trick name
[0147.70] Log: [TRICKNAME] 74.949905 : Hide trick name
[0148.23] Log: [TRICKNAME] 75.480400 : Show trick name
[0149.22] Log: [TRICKNAME] 76.476501 : Show trick name
[0151.90] Log: [TRICKNAME] 79.150002 : Show trick name
[0152.92] Log: [TRICKNAME] 80.174011 : Show trick name
[0153.93] Log: [TRICKNAME] 81.180908 : Show trick name
[0154.93] Log: [TRICKNAME] 82.182373 : Show trick name
[0155.93] Log: [TRICKNAME] 83.186348 : Show trick name
[0157.94] Log: [TRICKNAME] 85.189873 : Hide trick name
[0299.37] Log: [TRICKNAME] 226.591858 : Show trick name
[0301.36] Log: [TRICKNAME] 228.585754 : Hide trick name
[0302.82] Log: [TRICKNAME] 230.045853 : Show trick name
[0303.82] Log: [TRICKNAME] 231.045609 : Show trick name
[0305.28] Log: [TRICKNAME] 232.502518 : Show trick name
[0307.29] Log: [TRICKNAME] 234.507446 : Hide trick name
[0329.61] Log: [TRICKNAME] 256.824921 : Show trick name
[0331.15] Log: [TRICKNAME] 258.368958 : Show trick name
[0332.15] Log: [TRICKNAME] 259.372375 : Show trick name
[0333.15] Log: [TRICKNAME] 260.373566 : Show trick name
[0335.16] Log: [TRICKNAME] 262.379578 : Hide trick name
[0337.16] Log: [TRICKNAME] 264.380737 : Show trick name
[0339.16] Log: [TRICKNAME] 266.375427 : Hide trick name
[0347.73] Log: [TRICKNAME] 274.945496 : Show trick name
[0348.72] Log: [TRICKNAME] 275.937836 : Show trick name
[0350.72] Log: [TRICKNAME] 277.941498 : Hide trick name
[0366.56] Log: [TRICKNAME] 293.776672 : Show trick name
[0368.55] Log: [TRICKNAME] 295.770203 : Hide trick name
[0373.67] Log: [TRICKNAME] 300.882294 : Show trick name
[0374.74] Log: [TRICKNAME] 301.957642 : Show trick name
[0377.05] Log: [TRICKNAME] 304.264496 : Show trick name
[0378.06] Log: [TRICKNAME] 305.270782 : Show trick name
[0379.06] Log: [TRICKNAME] 306.273041 : Show trick name
[0380.07] Log: [TRICKNAME] 307.281036 : Show trick name
[0382.07] Log: [TRICKNAME] 309.285522 : Hide trick name
[0436.45] Log: [TRICKNAME] 363.656952 : Show trick name
[0439.14] Log: [TRICKNAME] 366.341675 : Show trick name
[0440.14] Log: [TRICKNAME] 367.345978 : Show trick name
[0441.15] Log: [TRICKNAME] 368.354095 : Show trick name
[0442.15] Log: [TRICKNAME] 369.355225 : Show trick name
[0444.16] Log: [TRICKNAME] 371.361023 : Hide trick name
[0462.68] Log: [TRICKNAME] 389.874390 : Show trick name
[0464.67] Log: [TRICKNAME] 391.867279 : Hide trick name
[0474.72] Log: [TRICKNAME] 401.915466 : Show trick name
[0476.71] Log: [TRICKNAME] 403.911377 : Hide trick name
[0477.82] Log: [TRICKNAME] 405.019348 : Show trick name
[0478.82] Log: [TRICKNAME] 406.012573 : Show trick name
[0480.82] Log: [TRICKNAME] 408.018402 : Hide trick name
[0489.93] Log: [TRICKNAME] 417.122467 : Show trick name
[0491.92] Log: [TRICKNAME] 419.119354 : Hide trick name
[0514.61] Log: [TRICKNAME] 441.801788 : Show trick name
[0516.61] Log: [TRICKNAME] 443.799500 : Hide trick name
[0530.71] Log: [TRICKNAME] 457.901215 : Show trick name
[0532.70] Log: [TRICKNAME] 459.896027 : Hide trick name
[0547.29] Log: [TRICKNAME] 474.484467 : Show trick name
[0549.29] Log: [TRICKNAME] 476.480560 : Hide trick name
[0581.94] Log: [TRICKNAME] 509.127869 : Show trick name
[0583.93] Log: [TRICKNAME] 511.123352 : Hide trick name
[0616.63] Log: [TRICKNAME] 543.811951 : Show trick name
[0618.63] Log: [TRICKNAME] 545.809631 : Hide trick name
[0630.83] Log: [TRICKNAME] 558.007874 : Show trick name
[0632.82] Log: [TRICKNAME] 560.000610 : Hide trick name
[0645.98] Log: [TRICKNAME] 573.154175 : Show trick name
[0646.97] Log: [TRICKNAME] 574.146240 : Show trick name
[0648.97] Log: [TRICKNAME] 576.145935 : Hide trick name
[0649.92] Log: [TRICKNAME] 577.099609 : Show trick name
[0651.92] Log: [TRICKNAME] 579.091370 : Hide trick name
[0660.25] Log: [TRICKNAME] 587.422913 : Show trick name
[0662.24] Log: [TRICKNAME] 589.414978 : Hide trick name
[0673.18] Log: [TRICKNAME] 600.348572 : Show trick name
[0675.86] Log: [TRICKNAME] 603.029846 : Show trick name
[0676.86] Log: [TRICKNAME] 604.032898 : Show trick name
[0678.87] Log: [TRICKNAME] 606.035889 : Hide trick name
[0708.42] Log: [TRICKNAME] 635.588623 : Show trick name
[0709.42] Log: [TRICKNAME] 636.581604 : Show trick name
[0711.42] Log: [TRICKNAME] 638.582031 : Hide trick name
