[0146.12] Log: Log file open, 06/06/16 00:22:43
[0146.12] Log: [TRICKNAME] 85.811089 : Show trick name
[0148.10] Log: [TRICKNAME] 87.805344 : Hide trick name
[0201.90] Log: [TRICKNAME] 141.606491 : Show trick name
[0203.89] Log: [TRICKNAME] 143.597824 : Hide trick name
[0221.95] Log: [TRICKNAME] 161.648575 : Show trick name
[0223.94] Log: [TRICKNAME] 163.647324 : Hide trick name
[0225.45] Log: [TRICKNAME] 165.150833 : Show trick name
[0227.44] Log: [TRICKNAME] 167.145401 : Hide trick name
[0228.47] Log: [TRICKNAME] 168.175018 : Show trick name
[0229.47] Log: [TRICKNAME] 169.169083 : Show trick name
[0230.47] Log: [TRICKNAME] 170.168839 : Show trick name
[0232.47] Log: [TRICKNAME] 172.169022 : Hide trick name
[0259.90] Log: [TRICKNAME] 199.599716 : Show trick name
[0261.89] Log: [TRICKNAME] 201.594421 : Hide trick name
[0276.34] Log: [TRICKNAME] 216.040482 : Show trick name
[0278.34] Log: [TRICKNAME] 218.037521 : Hide trick name
[0298.73] Log: [TRICKNAME] 238.430847 : Show trick name
[0300.73] Log: [TRICKNAME] 240.429810 : Hide trick name
[0322.60] Log: [TRICKNAME] 262.292297 : Show trick name
[0324.59] Log: [TRICKNAME] 264.284943 : Hide trick name
[0325.61] Log: [TRICKNAME] 265.300140 : Show trick name
[0326.60] Log: [TRICKNAME] 266.292236 : Show trick name
[0327.60] Log: [TRICKNAME] 267.298492 : Show trick name
[0328.60] Log: [TRICKNAME] 268.298370 : Show trick name
[0330.60] Log: [TRICKNAME] 270.298218 : Hide trick name
[0638.52] Log: [TRICKNAME] 286.750549 : Show trick name
[0639.51] Log: [TRICKNAME] 287.742645 : Show trick name
[0641.51] Log: [TRICKNAME] 289.742279 : Hide trick name
[0648.40] Log: [TRICKNAME] 296.633881 : Show trick name
[0649.39] Log: [TRICKNAME] 297.626007 : Show trick name
[0651.40] Log: [TRICKNAME] 299.628204 : Hide trick name
[0652.96] Log: [TRICKNAME] 301.193481 : Show trick name
[0653.96] Log: [TRICKNAME] 302.185730 : Show trick name
[0655.96] Log: [TRICKNAME] 304.186981 : Hide trick name
[0665.67] Log: [TRICKNAME] 313.900238 : Show trick name
[0667.45] Log: [TRICKNAME] 315.674316 : Show trick name
[0670.25] Log: [TRICKNAME] 318.473846 : Hide trick name
[0703.72] Log: [TRICKNAME] 351.942993 : Show trick name
[0704.71] Log: [TRICKNAME] 352.937012 : Show trick name
[0706.71] Log: [TRICKNAME] 354.936737 : Hide trick name
[0712.93] Log: [TRICKNAME] 361.154694 : Show trick name
[0713.93] Log: [TRICKNAME] 362.146790 : Show trick name
[0715.80] Log: [TRICKNAME] 364.023254 : Show trick name
[0716.81] Log: [TRICKNAME] 365.028961 : Show trick name
[0718.82] Log: [TRICKNAME] 367.035675 : Hide trick name
[0775.85] Log: [TRICKNAME] 424.056122 : Show trick name
[0776.84] Log: [TRICKNAME] 425.048309 : Show trick name
[0778.84] Log: [TRICKNAME] 427.048981 : Hide trick name
[0815.03] Log: [TRICKNAME] 463.230621 : Show trick name
[0816.03] Log: [TRICKNAME] 464.228271 : Show trick name
[0817.03] Log: [TRICKNAME] 465.228943 : Show trick name
[0818.03] Log: [TRICKNAME] 466.228699 : Show trick name
[0820.03] Log: [TRICKNAME] 468.229706 : Hide trick name
[0845.71] Log: [TRICKNAME] 493.898804 : Show trick name
[0846.70] Log: [TRICKNAME] 494.890930 : Show trick name
[0848.70] Log: [TRICKNAME] 496.890564 : Hide trick name
[0929.84] Log: [TRICKNAME] 578.009644 : Show trick name
[0930.84] Log: [TRICKNAME] 579.004150 : Show trick name
[0932.84] Log: [TRICKNAME] 581.005493 : Hide trick name
[0943.54] Log: [TRICKNAME] 591.708435 : Show trick name
[0944.53] Log: [TRICKNAME] 592.700562 : Show trick name
[0946.54] Log: [TRICKNAME] 594.701782 : Hide trick name
[0953.86] Log: [TRICKNAME] 602.029846 : Show trick name
[0954.86] Log: [TRICKNAME] 603.026672 : Show trick name
[0956.86] Log: [TRICKNAME] 605.028015 : Hide trick name
[0960.15] Log: [TRICKNAME] 608.319763 : Show trick name
[0961.15] Log: [TRICKNAME] 609.311829 : Show trick name
[0962.15] Log: [TRICKNAME] 610.311890 : Show trick name
[0963.15] Log: [TRICKNAME] 611.315796 : Show trick name
[0965.15] Log: [TRICKNAME] 613.318481 : Hide trick name
[1068.78] Log: [TRICKNAME] 716.928711 : Show trick name
[1069.78] Log: [TRICKNAME] 717.926331 : Show trick name
[1071.79] Log: [TRICKNAME] 719.931824 : Hide trick name
[1139.62] Log: [TRICKNAME] 787.760620 : Show trick name
[1140.62] Log: [TRICKNAME] 788.762329 : Show trick name
[1142.62] Log: [TRICKNAME] 790.763245 : Hide trick name
[1158.32] Log: [TRICKNAME] 806.469299 : Show trick name
[1159.32] Log: [TRICKNAME] 807.463013 : Show trick name
[1161.32] Log: [TRICKNAME] 809.468506 : Hide trick name
[1193.65] Log: [TRICKNAME] 841.782654 : Show trick name
[1194.64] Log: [TRICKNAME] 842.774719 : Show trick name
[1196.64] Log: [TRICKNAME] 844.774414 : Hide trick name
[1222.62] Log: [TRICKNAME] 870.748657 : Show trick name
[1223.61] Log: [TRICKNAME] 871.745300 : Show trick name
[1225.62] Log: [TRICKNAME] 873.747803 : Hide trick name
[1227.80] Log: [TRICKNAME] 875.931946 : Show trick name
[1228.79] Log: [TRICKNAME] 876.924133 : Show trick name
[1230.80] Log: [TRICKNAME] 878.924072 : Hide trick name
[1253.02] Log: [TRICKNAME] 901.141846 : Show trick name
[1254.01] Log: [TRICKNAME] 902.135620 : Show trick name
[1256.02] Log: [TRICKNAME] 904.143311 : Hide trick name
[1261.41] Log: [TRICKNAME] 909.536621 : Show trick name
[1262.41] Log: [TRICKNAME] 910.528748 : Show trick name
[1264.41] Log: [TRICKNAME] 912.528442 : Hide trick name
[1265.16] Log: [TRICKNAME] 913.282104 : Show trick name
[1266.15] Log: [TRICKNAME] 914.274231 : Show trick name
[1268.15] Log: [TRICKNAME] 916.273865 : Hide trick name
[1286.96] Log: [TRICKNAME] 935.077332 : Show trick name
[1288.59] Log: [TRICKNAME] 936.703735 : Show trick name
[1290.59] Log: [TRICKNAME] 938.710083 : Hide trick name
[1292.54] Log: [TRICKNAME] 940.658081 : Show trick name
[1293.54] Log: [TRICKNAME] 941.652893 : Show trick name
[1295.55] Log: [TRICKNAME] 943.660339 : Hide trick name
[1388.33] Log: [TRICKNAME] 1036.436401 : Show trick name
[1389.32] Log: [TRICKNAME] 1037.428589 : Show trick name
[1391.33] Log: [TRICKNAME] 1039.430542 : Hide trick name
[1396.49] Log: [TRICKNAME] 1044.593872 : Show trick name
[1397.48] Log: [TRICKNAME] 1045.585938 : Show trick name
[1399.12] Log: [TRICKNAME] 1047.216309 : Show trick name
[1400.12] Log: [TRICKNAME] 1048.216064 : Show trick name
[1402.12] Log: [TRICKNAME] 1050.215576 : Hide trick name
[1426.12] Log: [TRICKNAME] 1074.213867 : Show trick name
[1427.11] Log: [TRICKNAME] 1075.209717 : Show trick name
[1428.12] Log: [TRICKNAME] 1076.212036 : Show trick name
[1429.12] Log: [TRICKNAME] 1077.213623 : Show trick name
[1431.12] Log: [TRICKNAME] 1079.218018 : Hide trick name
[1499.88] Log: [TRICKNAME] 1147.961060 : Show trick name
[1511.76] Log: [TRICKNAME] 1159.833130 : Show trick name
[1513.76] Log: [TRICKNAME] 1161.832642 : Hide trick name
[1556.53] Log: [TRICKNAME] 1204.597046 : Show trick name
[1557.53] Log: [TRICKNAME] 1205.589478 : Show trick name
[1559.53] Log: [TRICKNAME] 1207.593506 : Hide trick name
[1592.04] Log: [TRICKNAME] 1240.101196 : Show trick name
[1593.04] Log: [TRICKNAME] 1241.095581 : Show trick name
[1595.04] Log: [TRICKNAME] 1243.095703 : Hide trick name
[1618.64] Log: [TRICKNAME] 1266.692749 : Show trick name
[1619.64] Log: [TRICKNAME] 1267.685669 : Show trick name
[1621.64] Log: [TRICKNAME] 1269.686279 : Hide trick name
[1653.84] Log: [TRICKNAME] 1301.881836 : Show trick name
[1654.84] Log: [TRICKNAME] 1302.873901 : Show trick name
[1656.84] Log: [TRICKNAME] 1304.873535 : Hide trick name
[1660.23] Log: [TRICKNAME] 1308.265015 : Show trick name
